RID,GroupAssignment,Age_Yrs,Year_of_Study,Live_Pets,Consumer_BARK,Stage,PANAS_PA,SHS,SCS,Engagement,FS,Stress,Homesick,Lonely,PANAS_NA
1,Control,21,3,2,1,pre,3.2,2.3333333333333335,3.9,5,6.125,2,3,2.25,1
1,Control,21,3,2,1,post,3.8,3.3333333333333335,3.8,4,6,2,3,1.7,1.2
2,Direct,19,1,2,1,pre,3,3.3333333333333335,5.15,2,5.25,2,4,1.9,1.8
2,Direct,19,1,2,1,post,3.2,4,5.2631578947368425,2,6,1,2,1.6,1
3,Indirect,18,1,2,1,pre,2.8,2.6666666666666665,4.1,3,5.375,4,3,2.25,1.6
3,Indirect,18,1,2,1,post,3,3.3333333333333335,4.15,3,5.375,3,2,2.25,1.6
4,Control,18,1,2,1,pre,4.2,3,4.65,3,6.375,2,1,1.75,1.8
4,Control,18,1,2,1,post,3.8,3,5.1,3,6.375,2,1,2.05,1.6
5,Direct,19,1,2,1,pre,3.4,2.6666666666666665,3.65,2,5.875,3,2,2.85,2.2
5,Direct,19,1,2,1,post,4,2.6666666666666665,3.6,4,5.875,4,2,2.7,1.6
6,Indirect,20,2,2,1,pre,4.2,3,4.35,2,6.125,4,4,2.7,2
6,Indirect,20,2,2,1,post,4.4,3.3333333333333335,4.65,2,5.625,4,3,2.4,1.4
7,Control,26,2,1,1,pre,4.2,2.6666666666666665,4.75,4,6.625,4,1,2.4,3.6
7,Control,26,2,1,1,post,4.6,3,4.4,4,6.5,3,1,2.25,2.8
8,Direct,17,1,2,1,pre,3.4,3.6666666666666665,4.6,3,5.875,3,1,2.25,1.6
8,Direct,17,1,2,1,post,3.4,4,4.65,3,6,2,1,2,1
9,Indirect,21,3,2,1,pre,3.8,2.6666666666666665,4.2,2,4.875,2,3,2.55,2.8
9,Indirect,21,3,2,1,post,3.2,2.3333333333333335,4.15,4,5,2,2,2.55,2.8
10,Control,22,4,2,1,pre,3.8,5,5.8,1,7,2,1,1.1,1.6
10,Control,22,4,2,1,post,2.8,5,5.75,1,7,1,1,1,1.4
11,Direct,19,2,2,1,pre,3.6,3,4.4,2,5.875,3,3,2.15,1.6
11,Direct,19,2,2,1,post,4,3.6666666666666665,4.8,2,6.25,2,3,1.85,1.2
12,Indirect,20,2,2,1,pre,2.8,2,4.1,3,4.75,2,4,2.3,1.8
12,Indirect,20,2,2,1,post,2.4,2.3333333333333335,4.25,2,4.625,2,3,2.2,1
13,Control,19,2,2,1,pre,3.2,4,5.4,3,6,3,2,1.7,1.4
13,Control,19,2,2,1,post,3.2,4.333333333333333,5.6,2,6.125,1,1,1.3,1.4
14,Direct,19,2,2,1,pre,3.4,3.3333333333333335,5.25,3,6,4,3,1.85,2.2
14,Direct,19,2,2,1,post,4,4,5.35,3,6.25,2,2,1.7,1.2
15,Indirect,21,3,NA,2,pre,3.2,3.6666666666666665,5.75,2,6.75,3,1,1.4,1.2
15,Indirect,21,3,NA,2,post,3,3.6666666666666665,5.7,2,6.75,4,2,1.15,1.6
16,Control,17,1,2,2,pre,2.4,2.3333333333333335,3.15,4,4.875,2,3,3.05,2.75
16,Control,17,1,2,2,post,2.2,1.6666666666666667,2.6,4,4.25,2,2,3.2,2.4
